n,comparaisons_A,comparaisons_B
1,0,0
4512,9022,6766
9023,18044,13533
13534,27066,20299
18046,36090,27067
22557,45112,33834
27068,54134,40600
31579,63156,47367
36091,72180,54135
40602,81202,60901
45113,90224,67668
49625,99248,74436
54136,108270,81202
58647,117292,87969
63158,126314,94735
67670,135338,101503
72181,144360,108270
76692,153382,115036
81203,162404,121803
85715,171428,128571
90226,180450,135337
94737,189472,142104
99249,198496,148872
103760,207518,155638
108271,216540,162405
112782,225562,169171
117294,234586,175939
121805,243608,182706
126316,252630,189472
130827,261652,196239
135339,270676,203007
139850,279698,209773
144361,288720,216540
148873,297744,223308
153384,306766,230074
157895,315788,236841
162406,324810,243607
166918,333834,250375
171429,342856,257142
175940,351878,263908
180452,360902,270676
184963,369924,277443
189474,378946,284209
193985,387968,290976
198497,396992,297744
203008,406014,304510
207519,415036,311277
212030,424058,318043
216542,433082,324811
221053,442104,331578
225564,451126,338344
230076,460150,345112
234587,469172,351879
239098,478194,358645
243609,487216,365412
248121,496240,372180
252632,505262,378946
257143,514284,385713
261654,523306,392479
266166,532330,399247
270677,541352,406014
275188,550374,412780
279700,559398,419548
284211,568420,426315
288722,577442,433081
293233,586464,439848
297745,595488,446616
302256,604510,453382
306767,613532,460149
311279,622556,466917
315790,631578,473683
320301,640600,480450
324812,649622,487216
329324,658646,493984
333835,667668,500751
338346,676690,507517
342857,685712,514284
347369,694736,521052
351880,703758,527818
356391,712780,534585
360903,721804,541353
365414,730826,548119
369925,739848,554886
374436,748870,561652
378948,757894,568420
383459,766916,575187
387970,775938,581953
392481,784960,588720
396993,793984,595488
401504,803006,602254
406015,812028,609021
410527,821052,615789
415038,830074,622555
419549,839096,629322
424060,848118,636088
428572,857142,642856
433083,866164,649623
437594,875186,656389
442106,884210,663157
446617,893232,669924
451128,902254,676690
455639,911276,683457
460151,920300,690225
464662,929322,696991
469173,938344,703758
473684,947366,710524
478196,956390,717292
482707,965412,724059
487218,974434,730825
491730,983458,737593
496241,992480,744360
500752,1001502,751126
505263,1010524,757893
509775,1019548,764661
514286,1028570,771427
518797,1037592,778194
523308,1046614,784960
527820,1055638,791728
532331,1064660,798495
536842,1073682,805261
541354,1082706,812029
545865,1091728,818796
550376,1100750,825562
554887,1109772,832329
559399,1118796,839097
563910,1127818,845863
568421,1136840,852630
572933,1145864,859398
577444,1154886,866164
581955,1163908,872931
586466,1172930,879697
590978,1181954,886465
595489,1190976,893232
600000,1199998,899998
604511,1209020,906765
609023,1218044,913533
613534,1227066,920299
618045,1236088,927066
622557,1245112,933834
627068,1254134,940600
631579,1263156,947367
636090,1272178,954133
640602,1281202,960901
645113,1290224,967668
649624,1299246,974434
654135,1308268,981201
658647,1317292,987969
663158,1326314,994735
667669,1335336,1001502
672181,1344360,1008270
676692,1353382,1015036
681203,1362404,1021803
685714,1371426,1028569
690226,1380450,1035337
694737,1389472,1042104
699248,1398494,1048870
703760,1407518,1055638
708271,1416540,1062405
712782,1425562,1069171
717293,1434584,1075938
721805,1443608,1082706
726316,1452630,1089472
730827,1461652,1096239
735338,1470674,1103005
739850,1479698,1109773
744361,1488720,1116540
748872,1497742,1123306
753384,1506766,1130074
757895,1515788,1136841
762406,1524810,1143607
766917,1533832,1150374
771429,1542856,1157142
775940,1551878,1163908
780451,1560900,1170675
784962,1569922,1177441
789474,1578946,1184209
793985,1587968,1190976
798496,1596990,1197742
803008,1606014,1204510
807519,1615036,1211277
812030,1624058,1218043
816541,1633080,1224810
821053,1642104,1231578
825564,1651126,1238344
830075,1660148,1245111
834587,1669172,1251879
839098,1678194,1258645
843609,1687216,1265412
848120,1696238,1272178
852632,1705262,1278946
857143,1714284,1285713
861654,1723306,1292479
866165,1732328,1299246
870677,1741352,1306014
875188,1750374,1312780
879699,1759396,1319547
884211,1768420,1326315
888722,1777442,1333081
893233,1786464,1339848
897744,1795486,1346614
902256,1804510,1353382
906767,1813532,1360149
911278,1822554,1366915
915789,1831576,1373682
920301,1840600,1380450
924812,1849622,1387216
929323,1858644,1393983
933835,1867668,1400751
938346,1876690,1407517
942857,1885712,1414284
947368,1894734,1421050
951880,1903758,1427818
956391,1912780,1434585
960902,1921802,1441351
965413,1930824,1448118
969925,1939848,1454886
974436,1948870,1461652
978947,1957892,1468419
983459,1966916,1475187
987970,1975938,1481953
992481,1984960,1488720
996992,1993982,1495486
1001504,2003006,1502254
1006015,2012028,1509021
1010526,2021050,1515787
1015038,2030074,1522555
1019549,2039096,1529322
1024060,2048118,1536088
1028571,2057140,1542855
1033083,2066164,1549623
1037594,2075186,1556389
1042105,2084208,1563156
1046616,2093230,1569922
1051128,2102254,1576690
1055639,2111276,1583457
1060150,2120298,1590223
1064662,2129322,1596991
1069173,2138344,1603758
1073684,2147366,1610524
1078195,2156388,1617291
1082707,2165412,1624059
1087218,2174434,1630825
1091729,2183456,1637592
1096240,2192478,1644358
1100752,2201502,1651126
1105263,2210524,1657893
1109774,2219546,1664659
1114286,2228570,1671427
1118797,2237592,1678194
1123308,2246614,1684960
1127819,2255636,1691727
1132331,2264660,1698495
1136842,2273682,1705261
1141353,2282704,1712028
1145865,2291728,1718796
1150376,2300750,1725562
1154887,2309772,1732329
1159398,2318794,1739095
1163910,2327818,1745863
1168421,2336840,1752630
1172932,2345862,1759396
1177443,2354884,1766163
1181955,2363908,1772931
1186466,2372930,1779697
1190977,2381952,1786464
1195489,2390976,1793232
1200000,2399998,1799998
1204511,2409020,1806765
1209022,2418042,1813531
1213534,2427066,1820299
1218045,2436088,1827066
1222556,2445110,1833832
1227067,2454132,1840599
1231579,2463156,1847367
1236090,2472178,1854133
1240601,2481200,1860900
1245113,2490224,1867668
1249624,2499246,1874434
1254135,2508268,1881201
1258646,2517290,1887967
1263158,2526314,1894735
1267669,2535336,1901502
1272180,2544358,1908268
1276692,2553382,1915036
1281203,2562404,1921803
1285714,2571426,1928569
1290225,2580448,1935336
1294737,2589472,1942104
1299248,2598494,1948870
1303759,2607516,1955637
1308270,2616538,1962403
1312782,2625562,1969171
1317293,2634584,1975938
1321804,2643606,1982704
1326316,2652630,1989472
1330827,2661652,1996239
1335338,2670674,2003005
1339849,2679696,2009772
1344361,2688720,2016540
1348872,2697742,2023306
1353383,2706764,2030073
1357894,2715786,2036839
1362406,2724810,2043607
1366917,2733832,2050374
1371428,2742854,2057140
1375940,2751878,2063908
1380451,2760900,2070675
1384962,2769922,2077441
1389473,2778944,2084208
1393985,2787968,2090976
1398496,2796990,2097742
1403007,2806012,2104509
1407519,2815036,2111277
1412030,2824058,2118043
1416541,2833080,2124810
1421052,2842102,2131576
1425564,2851126,2138344
1430075,2860148,2145111
1434586,2869170,2151877
1439097,2878192,2158644
1443609,2887216,2165412
1448120,2896238,2172178
1452631,2905260,2178945
1457143,2914284,2185713
1461654,2923306,2192479
1466165,2932328,2199246
1470676,2941350,2206012
1475188,2950374,2212780
1479699,2959396,2219547
1484210,2968418,2226313
1488721,2977440,2233080
1493233,2986464,2239848
1497744,2995486,2246614
1502255,3004508,2253381
1506767,3013532,2260149
1511278,3022554,2266915
1515789,3031576,2273682
1520300,3040598,2280448
1524812,3049622,2287216
1529323,3058644,2293983
1533834,3067666,2300749
1538346,3076690,2307517
1542857,3085712,2314284
1547368,3094734,2321050
1551879,3103756,2327817
1556391,3112780,2334585
1560902,3121802,2341351
1565413,3130824,2348118
1569924,3139846,2354884
1574436,3148870,2361652
1578947,3157892,2368419
1583458,3166914,2375185
1587970,3175938,2381953
1592481,3184960,2388720
1596992,3193982,2395486
1601503,3203004,2402253
1606015,3212028,2409021
1610526,3221050,2415787
1615037,3230072,2422554
1619548,3239094,2429320
1624060,3248118,2436088
1628571,3257140,2442855
1633082,3266162,2449621
1637594,3275186,2456389
1642105,3284208,2463156
1646616,3293230,2469922
1651127,3302252,2476689
1655639,3311276,2483457
1660150,3320298,2490223
1664661,3329320,2496990
1669173,3338344,2503758
1673684,3347366,2510524
1678195,3356388,2517291
1682706,3365410,2524057
1687218,3374434,2530825
1691729,3383456,2537592
1696240,3392478,2544358
1700751,3401500,2551125
1705263,3410524,2557893
1709774,3419546,2564659
1714285,3428568,2571426
1718797,3437592,2578194
1723308,3446614,2584960
1727819,3455636,2591727
1732330,3464658,2598493
1736842,3473682,2605261
1741353,3482704,2612028
1745864,3491726,2618794
1750375,3500748,2625561
1754887,3509772,2632329
1759398,3518794,2639095
1763909,3527816,2645862
1768421,3536840,2652630
1772932,3545862,2659396
1777443,3554884,2666163
1781954,3563906,2672929
1786466,3572930,2679697
1790977,3581952,2686464
1795488,3590974,2693230
1800000,3599998,2699998
